Ticker,Precio,Dif,TIR,TEM,TNA,MD,Vol(M),Paridad,VT,dQ,dF,c($m),cY(%),TIR-10,TIR-5,TIR-3,TIR-2,TIR-1,TIR+1,TIR+2,TIR+3,TIR+5,TIR+10
S12J6,102.309,+0.20%,23.1%,1.7%,21.0%,0.02,2646.1,100.1%,102.179,14,11,2.952,2.886,+0.3%,+0.1%,+0.1%,+0.0%,+0.0%,-0.0%,-0.0%,-0.1%,-0.1%,-0.2%
S17L6,105.070,+0.26%,23.7%,1.8%,21.4%,0.10,7282.7,100.5%,104.515,49,46,7.920,7.538,+1.1%,+0.5%,+0.3%,+0.2%,+0.1%,-0.1%,-0.2%,-0.3%,-0.5%,-1.0%
S31L6,113.900,+0.53%,22.0%,1.7%,20.0%,0.13,8669.9,101.8%,111.883,63,60,17.677,15.520,+1.4%,+0.7%,+0.4%,+0.3%,+0.1%,-0.1%,-0.3%,-0.4%,-0.7%,-1.3%
S14G6,103.345,+0.33%,25.3%,1.9%,22.7%,0.16,12174.2,100.2%,103.159,77,74,8.172,7.907,+1.7%,+0.8%,+0.5%,+0.3%,+0.2%,-0.2%,-0.3%,-0.5%,-0.8%,-1.5%
S31G6,120.500,+0.41%,23.7%,1.8%,21.5%,0.20,1938.9,101.5%,118.693,94,91,27.064,22.460,+2.1%,+1.0%,+0.6%,+0.4%,+0.2%,-0.2%,-0.4%,-0.6%,-1.0%,-1.9%
S30S6,108.985,+0.23%,25.6%,1.9%,23.0%,0.26,24566.4,102.1%,106.779,124,121,17.536,16.090,+2.8%,+1.4%,+0.8%,+0.5%,+0.3%,-0.3%,-0.5%,-0.8%,-1.3%,-2.5%
S30O6,123.500,+0.45%,24.6%,1.9%,22.2%,0.33,1810.8,102.3%,120.677,154,151,35.278,28.565,+3.5%,+1.7%,+1.0%,+0.7%,+0.3%,-0.3%,-0.7%,-1.0%,-1.6%,-3.1%
S30N6,116.874,+0.75%,23.6%,1.8%,21.4%,0.40,1175.2,102.2%,114.381,185,182,29.888,25.573,+4.3%,+2.1%,+1.2%,+0.8%,+0.4%,-0.4%,-0.8%,-1.2%,-2.0%,-3.8%
T30J6,142.500,+0.24%,23.3%,1.8%,21.2%,0.06,14525.5,100.1%,142.406,32,29,44.896,31.506,+0.7%,+0.3%,+0.2%,+0.1%,+0.1%,-0.1%,-0.1%,-0.2%,-0.3%,-0.6%
TO26,98.750,+0.26%,25.5%,1.9%,23.0%,0.34,179.1,96.9%,101.894,143,138,7.750,7.848,+3.2%,+1.6%,+0.9%,+0.6%,+0.3%,-0.3%,-0.6%,-0.9%,-1.5%,-2.9%
T15E7,139.700,+0.11%,25.6%,1.9%,23.0%,0.50,1062.0,98.6%,141.689,231,228,61.104,43.739,+5.3%,+2.6%,+1.5%,+1.0%,+0.5%,-0.5%,-1.0%,-1.5%,-2.4%,-4.7%
T30A7,126.800,+0.40%,26.7%,2.0%,23.9%,0.72,9168.1,103.6%,122.405,336,333,57.341,45.222,+7.8%,+3.7%,+2.2%,+1.5%,+0.7%,-0.7%,-1.4%,-2.1%,-3.5%,-6.7%
T31Y7,119.480,+0.24%,26.9%,2.0%,24.1%,0.79,2477.4,102.8%,116.273,367,364,51.563,43.156,+8.5%,+4.1%,+2.4%,+1.6%,+0.8%,-0.8%,-1.5%,-2.3%,-3.8%,-7.3%
T30J7,122.600,-0.03%,25.0%,1.9%,22.6%,0.86,76.0,107.1%,114.437,397,394,56.037,45.707,+9.4%,+4.5%,+2.7%,+1.8%,+0.9%,-0.9%,-1.7%,-2.5%,-4.1%,-8.0%
TY30P,108.750,+0.93%,27.6%,2.1%,24.6%,2.33,2847.4,108.7%,100.082,185,1459,14.750,13.563,+24.9%,+11.3%,+6.6%,+4.3%,+2.1%,-2.0%,-4.0%,-5.9%,-9.6%,-17.7%
TY30P_PUT,108.750,+0.93%,20.5%,1.6%,18.8%,0.85,2847.4,108.7%,100.082,185,363,14.750,13.563,+8.5%,+4.0%,+2.4%,+1.6%,+0.8%,-0.8%,-1.5%,-2.3%,-3.7%,-7.2%
