Ticker,Precio,Dif,TIR,TEM,TNA,MD,Vol(M),Paridad,VT,dQ,dF,c($m),cY(%),TIR-3,TIR-2,TIR-1,TIR+1,TIR+2,TIR+3,TIR+5,TIR+10
X15Y6,101.250,+0.15%,-1.9%,-0.2%,-2.0%,0.20,3249.2,100.4%,100.871,71,70,-,-,+0.6%,+0.4%,+0.2%,-0.2%,-0.4%,-0.6%,-0.9%,-1.8%
X29Y6,108.849,+0.09%,-1.1%,-0.1%,-1.2%,0.23,7355.1,100.3%,108.563,85,84,-,-,+0.7%,+0.5%,+0.2%,-0.2%,-0.5%,-0.7%,-1.1%,-2.2%
X31L6,102.700,+0.39%,1.3%,0.1%,1.3%,0.40,4881.3,99.5%,103.234,148,147,-,-,+1.2%,+0.8%,+0.4%,-0.4%,-0.8%,-1.2%,-1.9%,-3.7%
X30N6,103.450,+0.44%,5.1%,0.4%,4.9%,0.70,853.3,96.4%,107.283,270,269,-,-,+2.2%,+1.4%,+0.7%,-0.7%,-1.4%,-2.1%,-3.4%,-6.5%
TZXA7,104,0.00%,3.8%,0.3%,3.7%,1.11,2.3,95.8%,108.563,421,420,-,-,+3.4%,+2.3%,+1.1%,-1.1%,-2.2%,-3.2%,-5.3%,-10.0%
TZXY7,99.800,0.00%,6.0%,0.5%,5.9%,1.17,0.2,93.0%,107.283,452,451,-,-,+3.6%,+2.4%,+1.2%,-1.2%,-2.3%,-3.4%,-5.5%,-10.5%
TZXM6,210.260,+0.14%,-1.9%,-0.2%,-1.9%,0.07,2469.1,100.1%,209.985,26,25,-,-,+0.2%,+0.1%,+0.1%,-0.1%,-0.1%,-0.2%,-0.3%,-0.7%
TZX26,352.400,+0.13%,0.7%,0.1%,0.7%,0.32,1419.1,99.8%,353.176,117,116,-,-,+1.0%,+0.6%,+0.3%,-0.3%,-0.6%,-0.9%,-1.5%,-3.0%
TX26,1258.00,+0.08%,3.1%,0.3%,3.1%,0.42,18.6,99.5%,1263.88,67,248,12.557,0.998,+1.3%,+0.8%,+0.4%,-0.4%,-0.8%,-1.2%,-2.0%,-3.9%
TZXO6,143.350,+0.46%,4.4%,0.4%,4.3%,0.62,2869.4,97.3%,147.395,239,238,-,-,+1.9%,+1.3%,+0.6%,-0.6%,-1.2%,-1.8%,-3.0%,-5.8%
TZXD6,250.950,+0.46%,5.2%,0.4%,5.1%,0.74,179.5,96.1%,261.106,285,284,-,-,+2.3%,+1.5%,+0.7%,-0.7%,-1.5%,-2.2%,-3.5%,-6.8%
TZXM7,183.900,+0.38%,6.1%,0.5%,5.9%,1.01,69.5,93.9%,195.873,391,390,-,-,+3.1%,+2.1%,+1.0%,-1.0%,-2.0%,-2.9%,-4.8%,-9.2%
TZX27,324.900,0.00%,6.5%,0.5%,6.4%,1.24,20.2,92.0%,353.176,482,481,-,-,+3.8%,+2.5%,+1.3%,-1.2%,-2.4%,-3.6%,-5.9%,-11.2%
TX28,1787.00,+0.42%,6.8%,0.5%,6.6%,1.32,23.7,94.2%,1897.35,67,979,21.190,1.186,+4.0%,+2.6%,+1.3%,-1.3%,-2.5%,-3.7%,-6.0%,-11.2%
TZXD7,229.400,+0.53%,7.6%,0.6%,7.3%,1.65,36.3,87.9%,261.106,650,649,-,-,+5.2%,+3.4%,+1.7%,-1.6%,-3.2%,-4.8%,-7.8%,-14.6%
TZX28,293.550,+0.22%,8.3%,0.7%,8.0%,2.14,719.6,83.1%,353.176,848,847,-,-,+6.7%,+4.4%,+2.2%,-2.1%,-4.2%,-6.1%,-9.9%,-18.5%
TX31,1278.50,+0.67%,8.1%,0.6%,7.8%,3.08,1.0,84.2%,1518.64,88,2095,18.857,1.475,+9.5%,+6.2%,+3.0%,-2.9%,-5.7%,-8.3%,-13.3%,-24.0%
DICP,46285,+0.66%,8.2%,0.7%,7.9%,3.28,0.2,92.7%,49941,117,2857,1440.39,3.112,+10.3%,+6.7%,+3.2%,-3.1%,-6.0%,-8.7%,-13.9%,-24.6%
DIP0,46895,+1.88%,7.8%,0.6%,7.6%,3.31,0.0,93.9%,49941,117,2857,1440.39,3.072,+10.4%,+6.7%,+3.3%,-3.1%,-6.0%,-8.8%,-14.0%,-24.8%
PAP0,31520,-0.88%,8.6%,0.7%,8.3%,6.67,0.0,64.3%,49010,26,4591,430.441,1.366,+22.0%,+14.0%,+6.7%,-6.1%,-11.8%,-17.0%,-26.2%,-43.7%
PARP,31960,+0.77%,8.4%,0.7%,8.1%,6.70,0.1,65.2%,49010,26,4591,430.441,1.347,+22.1%,+14.1%,+6.7%,-6.2%,-11.8%,-17.0%,-26.3%,-43.9%
CUAP,38845,+0.25%,8.7%,0.7%,8.3%,9.94,0.0,57.2%,67947,117,7240,1117.74,2.877,+35.3%,+21.9%,+10.2%,-8.9%,-16.8%,-23.7%,-35.3%,-54.7%
