Ticker,Precio,Dif,TIR,TEM,TNA,MD,Vol(M),Paridad,VT,TTir,upTTir,dQ,dF,c($m),cY(%)
TZXO5,119.800,-0.91%,10.1%,0.8%,9.7%,0.23,7543.5,97.6%,122.783,-1.208,2.805,94,94,-,-
TX25,1249.50,-0.28%,11.1%,0.9%,10.6%,0.27,3.7,97.5%,1281.00,-0.941,3.301,104,103,11.482,0.919
TZXD5,209.350,-0.31%,10.6%,0.8%,10.2%,0.34,1143.2,96.3%,217.506,-0.486,4.090,139,139,-,-
TZXM6,160.050,-0.40%,14.2%,1.1%,13.4%,0.59,600.8,91.5%,174.921,0.509,8.920,245,245,-,-
TX26,1446.00,-0.17%,14.2%,1.1%,13.3%,0.71,316.0,91.7%,1576.11,0.855,9.950,104,468,15.690,1.085
TZX26,261.450,-0.40%,13.7%,1.1%,12.9%,0.81,64.0,88.9%,294.201,1.103,11.399,336,336,-,-
TZXO6,105.500,0.48%,12.9%,1.0%,12.2%,1.11,31.9,85.9%,122.783,1.692,13.960,458,458,-,-
TZXD6,182.900,-0.46%,13.4%,1.1%,12.6%,1.22,187.8,84.1%,217.506,1.861,15.940,504,504,-,-
TZXM7,133.100,-0.08%,13.0%,1.0%,12.3%,1.48,67.9,81.6%,163.165,2.221,18.180,610,610,-,-
TX28,1560.00,-0.89%,12.8%,1.0%,12.1%,1.54,7.8,84.8%,1839.82,2.299,17.850,104,1199.00,20.594,1.320
TZX27,232.250,-0.71%,13.1%,1.0%,12.4%,1.70,7.3,78.9%,294.201,2.477,20.868,701,701,-,-
TZXD7,163.250,-0.61%,12.8%,1.0%,12.1%,2.11,246.0,75.1%,217.506,2.879,24.540,869,869,-,-
TZX28,209.250,-0.83%,12.4%,1.0%,11.7%,2.60,2.9,71.1%,294.201,3.266,28.007,1067.00,1067.00,-,-
DIP0,35765,0.01%,12.0%,1.0%,11.4%,3.30,0.0,81.4%,43947,3.707,33.254,157,3077.00,1274.86,3.565
DICP,36000,0.26%,11.8%,0.9%,11.2%,3.31,0.6,81.9%,43947,3.714,32.348,157,3077.00,1274.86,3.541
TX31,900,0.00%,12.1%,1.0%,11.5%,3.45,1.2,71.3%,1261.91,3.792,33.665,125,2315.00,15.708,1.745
PARP,21555,-0.07%,11.0%,0.9%,10.5%,6.85,0.2,52.9%,40755,5.059,51.569,63,4811.00,358.564,1.663
PAP0,21700,0.18%,10.9%,0.9%,10.4%,6.86,0.2,53.2%,40755,5.062,50.518,63,4811.00,358.564,1.652
CUAP,25950,0.78%,10.8%,0.9%,10.3%,9.52,0.2,46.0%,56415,5.669,66.641,157,7460.00,931.099,3.588
