Ticker,Precio,Dif,TIR,TEM,TNA,MD,Vol(M),Paridad,VT,dQ,dF,c($m),cY(%),TIR-3,TIR-2,TIR-1,TIR+1,TIR+2,TIR+3,TIR+5,TIR+10
GD29D,65.430,-0.32%,5.7%,0.5%,5.5%,1.52,0.0,93.1%,70.268,48,1139,0.350,0.535,+4.6%,+3.0%,+1.5%,-1.5%,-2.9%,-4.2%,-6.9%,-12.8%
GD30D,65.210,+0.77%,6.5%,0.5%,6.3%,1.95,0.9,90.3%,72.207,48,1504,0.270,0.414,+6.0%,+3.9%,+1.9%,-1.9%,-3.6%,-5.4%,-8.7%,-16.0%
GD38D,84.970,+0.94%,8.9%,0.7%,8.5%,4.68,0.4,83.4%,101.917,48,4245,2.500,2.942,+15.1%,+9.7%,+4.7%,-4.3%,-8.4%,-12.1%,-18.9%,-32.5%
GD35D,80.860,+0.45%,9.1%,0.7%,8.7%,5.39,2.1,79.6%,101.581,48,3330,2.063,2.551,+17.2%,+11.1%,+5.3%,-5.0%,-9.6%,-14.0%,-21.9%,-37.7%
GD41D,74.940,+0.85%,9.3%,0.7%,8.9%,5.90,0.6,73.9%,101.342,48,5522,1.750,2.335,+19.5%,+12.4%,+5.9%,-5.4%,-10.4%,-14.9%,-23.0%,-38.5%
GD46D,72,+2.17%,9.0%,0.7%,8.7%,6.18,0.2,76.1%,94.655,48,7348,1.922,2.669,+21.0%,+13.2%,+6.3%,-5.6%,-10.7%,-15.3%,-23.3%,-38.0%
AO27D,102.100,+0.25%,4.9%,0.4%,4.8%,1.36,24.9,101.6%,100.450,3,520,0.500,0.490,+4.0%,+2.7%,+1.3%,-1.3%,-2.5%,-3.8%,-6.1%,-11.7%
AL29D,64.250,+0.17%,6.9%,0.6%,6.7%,1.50,0.9,91.4%,70.268,48,1139,0.350,0.545,+4.5%,+3.0%,+1.5%,-1.4%,-2.8%,-4.2%,-6.7%,-12.6%
AL30D,64.140,+0.38%,7.3%,0.6%,7.1%,1.93,65.5,88.8%,72.207,48,1504,0.270,0.421,+5.9%,+3.9%,+1.9%,-1.8%,-3.6%,-5.3%,-8.5%,-15.8%
AO28D,95.650,+0.26%,8.5%,0.7%,8.2%,2.24,4.2,95.2%,100.450,3,888,0.500,0.523,+6.5%,+4.3%,+2.1%,-2.0%,-4.0%,-5.9%,-9.6%,-17.9%
AN29D,96.150,-0.16%,9.0%,0.7%,8.6%,2.95,1.0,93.4%,102.979,6,1283,3.033,3.155,+9.0%,+5.9%,+2.9%,-2.8%,-5.4%,-8.0%,-12.8%,-23.4%
AE38D,81.170,+0.64%,9.9%,0.8%,9.5%,4.57,2.8,79.6%,101.917,48,4245,2.500,3.080,+14.6%,+9.4%,+4.5%,-4.2%,-8.1%,-11.8%,-18.5%,-31.8%
AL35D,78.150,+0.36%,9.8%,0.8%,9.4%,5.34,1.3,76.9%,101.581,48,3330,2.063,2.639,+17.0%,+10.9%,+5.3%,-4.9%,-9.5%,-13.8%,-21.6%,-37.3%
AL41D,73.320,+0.92%,9.7%,0.8%,9.3%,5.84,0.4,72.3%,101.342,48,5522,1.750,2.387,+19.2%,+12.2%,+5.8%,-5.3%,-10.3%,-14.8%,-22.8%,-38.1%
