Nombre,Precio,Var %
AAL,7020.0,-1.68
AALD,6.19,-2.05
AAP,2720.0,-1.09
AAPL,12250.0,-0.8
AAPLC,10.8,0.0
AAPLD,10.75,-0.46
ABBV,20825.0,-4.36
ABBVC,11.0,0.0
ABBVD,19.2,0.0
ABEV,8800.0,0.11
ABEVD,7.7,0.0
ABNB,10725.0,0.7
ABNBD,9.44,0.63
ABT,37350.0,-0.06
ABTD,33.0,0.0
ACN,4910.0,-1.0
ACND,4.29,-3.59
ADBE,10500.0,0.23
ADBED,9.23,0.87
ADGO,10200.0,-1.92
ADI,17450.0,-0.14
ADP,58650.0,-1.26
ADS,3980.0,0.0
AEG,7890.0,1.67
AEM,20150.0,-2.42
AIG,19000.0,-2.18
AKO.B,30525.0,-1.53
AMAT,40350.0,0.62
AMD,13675.0,5.19
AMDD,11.95,4.82
AMGN,10225.0,-1.91
AMX,19800.0,-1.0
AMXD,17.35,8.09
AMZN,1695.0,-0.29
AMZNC,1.54,0.65
AMZND,1.49,0.0
ANF,94700.0,0.42
ANFD,82.5,0.0
ARCO,17550.0,-7.01
ARKK,6670.0,0.75
ARKKD,5.88,1.03
ARM,5740.0,8.09
ASR,19750.0,0.76
AVGO,6870.0,-0.14
AVGOD,6.03,-0.33
AVY,11525.0,-1.07
AXP,23225.0,-0.21
AXPD,20.25,-0.73
AZN,38500.0,-2.03
AZND,34.55,0.0
B,10150.0,-3.1
B.C,16.3,0.0
B.D,9.52,0.0
BA,10025.0,2.29
BA.C,12900.0,0.97
BA.CD,11.4,2.24
BABA,17200.0,1.47
BABAC,14.15,0.0
BABAD,15.15,0.33
BAD,8.79,2.2
BAK,2125.0,-3.84
BB,1505.0,0.33
BBAS3,3030.0,-0.49
BBD,3165.0,0.47
BBDC,4.52,0.0
BBDD,2.79,0.17
BBV,17375.0,1.6
BCS,19800.0,0.5
BHP,29125.0,-1.27
BIDU,9840.0,2.28
BIDUD,8.6,1.77
BIIB,10775.0,-2.04
BIOX,5330.0,-2.73
BIOXD,4.68,-2.09
BITF,6600.0,-0.45
BITFD,5.75,-1.37
BK,51050.0,0.39
BKNG,8420.0,-0.82
BKR,6400.0,-5.88
BMY,17625.0,-2.21
BMYD,20.5,0.0
