Nombre,Precio,Var %
ALUA,765.0,0.0
ALUAD,0.65,0.0
BBAR,7930.0,0.0
BBARD,6.8,0.0
BMA,10625.0,0.0
BMA.D,8.8,0.0
BYMA,410.0,0.0
BYMAD,0.35,0.0
CEPU,1320.0,0.0
CEPUD,1.13,0.0
COME,144.5,0.0
COMED,0.13,0.0
CRES,1420.0,0.0
CRESD,1.21,0.0
ECOGD,17.5,0.0
EDN,1995.0,0.0
EDND,1.7,0.0
GGAL,7070.0,0.0
GGALD,6.02,0.0
IRSA,1650.0,0.0
IRSAD,1.41,0.0
LOMA,2570.0,0.0
LOMAD,2.18,0.0
METR,1925.0,0.0
METRD,1.65,0.0
PAMP,3615.0,0.0
PAMPD,3.1,0.0
SUPV,3570.0,0.0
SUPVD,3.03,0.0
TECO2,2540.0,0.0
TECOD,2.15,0.0
TGN4D,2.71,0.0
TGNO4,3105.0,0.0
TGSU2,6380.0,0.0
TGSUD,5.46,0.0
TRAN,1820.0,0.0
TRAND,1.56,0.0
TXAR,688.0,0.0
TXARD,0.62,0.0
VALO,275.0,0.0
VALOD,0.24,0.0
YPFD,39000.0,0.0
YPFDD,33.4,0.0
