#,Company,Symbol,Weight,Price,Chg,% Chg
1,Microsoft,MSFT,6.66,488.39,2.39,0.49
2,Nvidia,NVDA,6.58,147.25,3.08,2.13
3,Apple Inc.,AAPL,5.52,201.43,-0.07,-0.03
4,Amazon,AMZN,4.14,212.59,4.12,1.97
5,Meta Platforms,META,3.25,704.07,5.54,0.79
6,Broadcom,AVGO,2.26,261.54,7.77,3.06
7,"Tesla, Inc.",TSLA,2.02,342.76,-5.93,-1.70
8,Berkshire Hathaway,BRK.B,1.95,492.22,4.45,0.91
9,Alphabet Inc. Class C,GOOG,1.87,168.01,2.00,1.20
10,Alphabet Inc. Class A,GOOGL,1.86,167.06,1.87,1.13
11,JPMorgan Chase,JPM,1.43,281.10,2.83,1.02
12,Walmart,WMT,1.43,97.87,-0.01,-0.01
13,Lilly Eli,LLY,1.27,770.52,-0.12,-0.02
14,Visa Inc.,V,1.25,349.63,5.88,1.71
15,Oracle Corporation,ORCL,1.10,213.04,6.00,2.90
16,Netflix,NFLX,0.99,"1,273.15",19.61,1.56
17,Mastercard,MA,0.92,555.05,12.69,2.34
18,ExxonMobil,XOM,0.87,110.42,-1.32,-1.18
19,Costco,COST,0.81,994.51,-9.97,-0.99
20,Procter & Gamble,PG,0.69,160.04,-0.99,-0.62
21,Johnson & Johnson,JNJ,0.67,151.97,0.65,0.43
22,Home Depot The,HD,0.65,356.99,0.03,0.01
23,Bank of America,BAC,0.65,46.99,0.69,1.49
24,Palantir Technologies,PLTR,0.61,141.66,1.74,1.25
25,AbbVie,ABBV,0.60,184.47,0.71,0.39
26,Coca-Cola Company The,KO,0.55,69.94,0.20,0.29
27,Philip Morris International,PM,0.53,184.26,-0.69,-0.37
28,UnitedHealth Group,UNH,0.50,301.92,1.24,0.41
29,IBM,IBM,0.50,291.04,1.86,0.64
30,Cisco,CSCO,0.49,67.52,0.14,0.20
31,GE Aerospace,GE,0.48,246.78,-1.03,-0.41
32,T-Mobile US,TMUS,0.48,228.88,1.90,0.84
33,Salesforce,CRM,0.47,269.71,6.30,2.39
34,Wells Fargo,WFC,0.47,78.55,1.54,2.00
35,Chevron Corporation,CVX,0.46,145.37,-1.49,-1.01
36,Abbott Laboratories,ABT,0.43,133.31,0.05,0.03
37,Advanced Micro Devices,AMD,0.41,136.92,7.34,5.66
