#,Company,Symbol,Weight,Price,Chg,% Chg
1,Nvidia,NVDA,7.34,182.14,2.31,1.28
2,Microsoft,MSFT,6.33,514.22,0.79,0.15
3,Apple Inc.,AAPL,6.10,248.19,-1.15,-0.46
4,Amazon,AMZN,3.82,216.58,1.01,0.47
5,Meta Platforms,META,2.99,718.17,0.62,0.09
6,Broadcom,AVGO,2.78,355.80,4.47,1.27
7,Alphabet Inc. Class A,GOOGL,2.63,253.63,2.60,1.03
8,Alphabet Inc. Class C,GOOG,2.46,254.23,2.52,1.00
9,"Tesla, Inc.",TSLA,2.39,433.87,-1.28,-0.29
10,Berkshire Hathaway,BRK.B,1.75,490.20,-6.19,-1.25
11,Oracle Corporation,ORCL,1.45,306.22,2.60,0.86
12,Walmart,WMT,1.41,106.93,-2.10,-1.93
13,JPMorgan Chase,JPM,1.38,307.17,1.48,0.48
14,Lilly Eli,LLY,1.22,822.90,-3.67,-0.44
15,Visa Inc.,V,1.09,339.29,-6.40,-1.85
16,Netflix,NFLX,0.84,"1,192.73",-10.56,-0.88
17,Mastercard,MA,0.83,555.52,-7.29,-1.30
18,ExxonMobil,XOM,0.79,111.62,0.00,0.00
19,Johnson & Johnson,JNJ,0.77,192.31,1.14,0.60
20,Palantir Technologies,PLTR,0.71,180.27,0.65,0.36
21,Costco,COST,0.69,933.98,-21.01,-2.20
22,AbbVie,ABBV,0.66,226.54,0.32,0.14
23,Advanced Micro Devices,AMD,0.64,237.92,-0.68,-0.29
24,Bank of America,BAC,0.64,51.88,-0.40,-0.77
25,Home Depot The,HD,0.64,385.71,-2.59,-0.67
26,Procter & Gamble,PG,0.58,149.69,2.27,1.54
27,UnitedHealth Group,UNH,0.54,358.32,-2.83,-0.78
28,GE Aerospace,GE,0.53,300.85,0.73,0.24
29,Chevron Corporation,CVX,0.51,152.17,0.06,0.04
30,Coca-Cola Company The,KO,0.48,67.84,0.76,1.13
31,Wells Fargo,WFC,0.46,85.85,-0.61,-0.70
32,Cisco,CSCO,0.45,69.33,-0.19,-0.28
33,Morgan Stanley,MS,0.43,163.52,0.87,0.54
34,IBM,IBM,0.43,277.59,-3.16,-1.13
35,T-Mobile US,TMUS,0.42,227.82,1.17,0.52
36,Caterpillar Inc.,CAT,0.42,536.95,2.90,0.54
37,Philip Morris International,PM,0.41,157.64,-0.09,-0.06
38,Goldman Sachs,GS,0.40,777.15,9.22,1.20
39,Salesforce,CRM,0.39,247.63,11.05,4.67
40,Micron Technology,MU,0.38,204.50,12.56,6.54
41,American Express,AXP,0.38,326.23,-4.43,-1.34
42,Abbott Laboratories,ABT,0.37,128.52,-0.93,-0.72
43,McDonald's,MCD,0.36,306.14,0.89,0.29
44,Merck & Co.,MRK,0.35,84.51,0.40,0.48
45,RTX Corporation,RTX,0.35,157.39,0.39,0.25
46,PepsiCo,PEP,0.35,153.71,2.55,1.69
47,Linde plc,LIN,0.35,448.05,-3.37,-0.75
48,AppLovin Corporation,APP,0.34,607.50,5.20,0.86
49,Thermo Fisher Scientific,TMO,0.34,538.28,10.40,1.97
50,Walt Disney Company The,DIS,0.33,111.04,-0.67,-0.60
51,Uber,UBER,0.32,92.53,-1.99,-2.10
52,ServiceNow,NOW,0.31,908.71,5.66,0.63
53,AT&T,T,0.31,26.34,0.27,1.02
54,BlackRock,BLK,0.31,"1,197.52",-5.07,-0.42
55,Arista Networks,ANET,0.30,146.03,2.65,1.85
56,Intuit,INTU,0.30,652.91,0.22,0.03
57,Applied Materials,AMAT,0.30,226.72,-0.86,-0.38
58,Lam Research,LRCX,0.30,142.91,-1.87,-1.29
59,Intel,INTC,0.30,37.47,0.32,0.86
60,Qualcomm,QCOM,0.29,164.61,1.64,1.01
61,NextEra Energy,NEE,0.29,85.63,-0.16,-0.19
62,Citigroup,C,0.29,98.19,-1.59,-1.59
63,Charles Schwab Corporation,SCHW,0.29,95.29,0.96,1.02
64,Verizon,VZ,0.28,40.47,0.09,0.23
65,GE Vernova,GEV,0.27,607.92,-8.03,-1.30
66,Booking Holdings,BKNG,0.27,"5,042.19",-38.67,-0.76
67,Amgen,AMGN,0.27,298.96,1.64,0.55
68,Texas Instruments,TXN,0.27,176.94,1.67,0.95
69,Boeing,BA,0.27,212.31,-1.69,-0.79
70,TJX Companies,TJX,0.26,142.73,-2.44,-1.68
71,Intuitive Surgical,ISRG,0.26,436.45,0.84,0.19
72,Amphenol,APH,0.26,127.60,2.00,1.59
73,Danaher Corporation,DHR,0.25,209.57,3.47,1.68
74,Gilead Sciences,GILD,0.24,118.98,0.68,0.57
75,Accenture,ACN,0.24,236.64,-3.07,-1.28
76,Eaton Corporation,ETN,0.24,375.81,-5.91,-1.55
