,Total,Moneda Nacional,Moneda Extranjera
2019-01-01 00:00:00,12401.6,4267.9,8133.700000000001
2019-02-01 00:00:00,12616.7,4483.0,8133.700000000001
2019-03-01 00:00:00,12306.7,4173.0,8133.700000000001
2019-04-01 00:00:00,12367.900000000001,4234.2,8133.700000000001
2019-05-01 00:00:00,12700.2,4566.5,8133.700000000001
2019-06-01 00:00:00,13735.0,5601.3,8133.700000000001
2019-07-01 00:00:00,13000.800000000001,5583.700000000001,7417.1
2019-08-01 00:00:00,27528.1,6437.5,21090.6
2019-09-01 00:00:00,26559.9,6550.9,20009.0
2019-10-01 00:00:00,25241.3,6383.1,18858.2
2019-11-01 00:00:00,24362.0,6558.0,17803.9
2019-12-01 00:00:00,23113.7,6025.1,17088.6
2020-01-01 00:00:00,22867.1,5830.6,17036.5
2020-02-01 00:00:00,22739.7,5760.8,16978.9
2020-03-01 00:00:00,18398.8,1420.3000000000002,16978.5
2020-04-01 00:00:00,18372.3,1410.2,16962.1
2020-05-01 00:00:00,15957.0,1186.4,14770.6
2020-06-01 00:00:00,15954.1,1183.5,14770.6
2020-07-01 00:00:00,11708.599999999999,648.5,11060.099999999999
2020-08-01 00:00:00,11580.599999999999,520.5,11060.099999999999
2020-09-01 00:00:00,8879.3,511.90000000000003,8367.4
2020-10-01 00:00:00,8497.3,160.5,8336.8
2020-11-01 00:00:00,8496.1,160.5,8335.6
2020-12-01 00:00:00,8208.6,160.5,8048.1
2021-01-01 00:00:00,8140.900000000001,158.3,7982.6
2021-02-01 00:00:00,8140.0,158.3,7981.7
2021-03-01 00:00:00,8140.0,158.3,7981.7
2021-04-01 00:00:00,8073.2,155.9,7917.3
2021-05-01 00:00:00,8753.7,836.9,7916.8
2021-06-01 00:00:00,9653.2,1736.4,7916.8
2021-07-01 00:00:00,9832.5,1982.4,7850.1
2021-08-01 00:00:00,9868.6,2018.5,7850.1
2021-09-01 00:00:00,10061.900000000001,2211.8,7850.1
2021-10-01 00:00:00,10046.8,2254.0,7792.8
2021-11-01 00:00:00,10081.1,2289.0,7792.1
2021-12-01 00:00:00,9432.9,2311.1,7121.799999999999
2022-01-01 00:00:00,9400.699999999999,2331.7999999999997,7068.9
2022-02-01 00:00:00,9425.099999999999,2356.2,7068.9
2022-03-01 00:00:00,10706.9,3638.0,7068.9
2022-04-01 00:00:00,11300.699999999999,4282.9,7017.799999999999
2022-05-01 00:00:00,11476.0,4458.2,7017.799999999999
2022-06-01 00:00:00,11525.599999999999,4507.8,7017.799999999999
2022-07-01 00:00:00,12504.3,5536.599999999999,6967.7
2022-08-01 00:00:00,12528.3,5560.6,6967.7
2022-09-01 00:00:00,13299.3,6331.6,6967.7
2022-10-01 00:00:00,13932.2,7028.5,6903.7
2022-11-01 00:00:00,13890.2,6986.5,6903.7
2022-12-01 00:00:00,13485.6,7895.5,5590.1
2023-01-01 00:00:00,13463.5,7967.599999999999,5495.900000000001
2023-02-01 00:00:00,13444.3,7948.4,5495.900000000001
2023-03-01 00:00:00,7748.6,2252.7,5495.900000000001
2023-04-01 00:00:00,7049.700000000001,1666.8000000000002,5382.900000000001
2023-05-01 00:00:00,5416.8,33.9,5382.900000000001
2023-06-01 00:00:00,5389.8,6.9,5382.900000000001
2023-07-01 00:00:00,5260.9,6.9,5254.0
2023-08-01 00:00:00,5260.9,6.9,5254.0
2023-09-01 00:00:00,5260.9,6.9,5254.0
2023-10-01 00:00:00,5146.0,3.9,5142.1
2023-11-01 00:00:00,5146.0,3.9,5142.1
2023-12-01 00:00:00,4704.2,0.0,4704.2
2024-01-01 00:00:00,4673.299999999999,0.0,4673.299999999999
2024-02-01 00:00:00,4673.299999999999,0.0,4673.299999999999
2024-03-01 00:00:00,4673.299999999999,0.0,4673.299999999999
2024-04-01 00:00:00,4666.299999999999,0.0,4666.299999999999
2024-05-01 00:00:00,4666.299999999999,0.0,4666.299999999999
2024-06-01 00:00:00,4666.299999999999,0.0,4666.299999999999
2024-07-01 00:00:00,4659.299999999999,0.0,4659.299999999999
2024-08-01 00:00:00,4659.299999999999,0.0,4659.299999999999
2024-09-01 00:00:00,4659.299999999999,0.0,4659.299999999999
2024-10-01 00:00:00,4658.9,0.0,4658.9
2024-11-01 00:00:00,4658.9,0.0,4658.9
2024-12-01 00:00:00,4380.1,0.0,4380.1
2025-01-01 00:00:00,4380.1,0.0,4380.1
2025-02-01 00:00:00,4380.1,0.0,4380.1
2025-03-01 00:00:00,4380.1,0.0,4380.1
2025-04-01 00:00:00,4380.1,0.0,4380.1
2025-05-01 00:00:00,4380.1,0.0,4380.1
2025-06-01 00:00:00,4380.1,0.0,4380.1
2025-07-01 00:00:00,4380.1,0.0,4380.1
2025-08-01 00:00:00,4380.1,0.0,4380.1
