,Total Pagado,Total-Moneda Nacional,Capital-Moneda Nacional,Intereses-Moneda Nacional,Total-Moneda Extranjera,Capital-Moneda Extranjera,Intereses-Moneda Extranjera
2019-01-01 00:00:00,7749.799999999999,3605.5,3126.1,479.4,4144.299999999999,2275.2,1869.1
2019-02-01 00:00:00,9350.6,5986.9,5974.7,12.2,3363.7000000000003,3059.8,303.9
2019-03-01 00:00:00,10472.5,5695.0,4796.9,898.1,4777.5,4207.3,570.2
2019-04-01 00:00:00,12399.6,5603.1,4876.6,726.5,6796.5,5190.2,1606.3
2019-05-01 00:00:00,13012.8,4894.5,4357.6,536.9,8118.3,6526.8,1591.5
2019-06-01 00:00:00,8971.2,5679.8,4720.0,959.8,3291.4,2495.0,796.4
2019-07-01 00:00:00,9102.1,4394.6,3927.8,466.8,4707.5,3026.7,1680.8
2019-08-01 00:00:00,6297.1,857.5,704.2,153.3,5439.6,4101.6,1338.0
2019-09-01 00:00:00,3554.6000000000004,1916.7,1101.4,815.3,1637.9,1253.5,384.4
2019-10-01 00:00:00,3863.3,1684.3000000000002,1108.2,576.1,2179.0,1302.3,876.7
2019-11-01 00:00:00,6094.700000000001,3962.4,3531.5,430.9,2132.3,1207.9,924.4
2019-12-01 00:00:00,6441.6,4307.0,3208.0,1099.0,2134.6000000000004,841.2,1293.4
2020-01-01 00:00:00,3206.7000000000003,1633.8000000000002,1132.2,501.6,1572.9,273.5,1299.4
2020-02-01 00:00:00,2488.7,1829.2,1588.9,240.3,659.5,215.4,444.1
2020-03-01 00:00:00,5556.6,4672.900000000001,4247.3,425.6,883.7,539.5,344.2
2020-04-01 00:00:00,3653.3999999999996,3360.2,2818.5,541.7,293.2,218.9,74.3
2020-05-01 00:00:00,2691.8,2162.8,1732.8,430.0,529.0,145.7,383.3
2020-06-01 00:00:00,4933.2,4651.4,4091.1,560.3,281.8,185.9,95.9
2020-07-01 00:00:00,3500.7000000000003,3136.9,2983.8,153.1,363.8,280.8,83.0
2020-08-01 00:00:00,3290.0,2782.6,2483.4,299.2,507.4,163.0,344.4
2020-09-01 00:00:00,3541.5,3208.0,2868.7,339.3,333.5,229.6,103.9
2020-10-01 00:00:00,4494.7,4284.7,3910.7,374.0,210.0,168.6,41.4
2020-11-01 00:00:00,6631.8,6089.2,5615.4,473.8,542.6,173.4,369.2
2020-12-01 00:00:00,4620.7,4386.2,4347.2,39.0,234.5,171.8,62.7
2021-01-01 00:00:00,3115.0000000000005,2703.2000000000003,2326.8,376.4,411.8,353.2,58.6
2021-02-01 00:00:00,3963.4,3473.6,3356.9,116.7,489.8,148.5,341.3
