,PRÉSTAMOS,PRÉSTAMOS GARANTIZADOS,ORGANISMOS INTERNACIONALES,BCIE,BIRF,BID,FONPLATA,FIDA,CAF,OFID,FMI,BEI,ORGANISMOS OFICIALES,CLUB DE PARIS,OTROS BILATERALES,BANCA COMERCIAL,PAGARÉS DEL TESORO,PAGARÉ 2019 - $,PAGARÉ 2021 - CAMMESA - U$S,PAGARÉ 2038 - UCP,AVALES,ADELANTOS TRANSITORIOS BCRA - Extraordinarios
2019-01-01 00:00:00,61442.8,718.0,51226.9,2.6,6857.0,12279.4,165.3,45.3,3450.9,41.3,28314.5,70.6,6833.0,3607.0,3226.0,1219.1,521.9,130.2,46.6,345.1,923.9,2476.0
2019-02-01 00:00:00,61419.99999999999,685.0,51268.49999999999,2.6,6900.1,12288.7,201.5,45.1,3459.5,41.3,28259.1,70.6,6813.0,3576.5,3236.5,1258.5,492.4,123.6,32.6,336.2,902.6,2261.6
2019-03-01 00:00:00,60737.9,637.9,50872.0,2.6,6802.9,12176.4,193.6,44.7,3475.8,42.5,28062.9,70.6,6869.8,3558.3,3311.5,1140.9,345.70000000000005,0.0,32.6,313.1,871.6,1840.7
2019-04-01 00:00:00,71608.70000000001,654.6,61740.899999999994,2.6,6859.7,12195.2,193.6,44.0,3510.2,43.3,38821.7,70.6,6854.5,3549.1,3305.4,1147.1,354.0,0.0,32.6,321.4,857.6,1692.8
2019-05-01 00:00:00,70448.5,668.4,62173.7,2.6,6891.9,12706.1,191.5,43.8,3626.0,43.9,38591.7,76.2,5275.4,1935.0,3340.4,1127.2,360.8,0.0,32.6,328.2,843.0,1421.9
2019-06-01 00:00:00,71211.1,729.1,62752.6,2.6,6960.7,12911.9,205.3,42.2,3557.6,55.7,38940.4,76.2,5320.5,1955.6,3364.9,1187.1,390.6,0.0,32.6,358.0,831.2,1088.4
2019-07-01 00:00:00,76491.70000000001,726.3,68092.0,2.6,6988.0,12908.7,209.2,41.6,3589.1,56.4,44220.2,76.2,5213.5,1926.9,3286.6,1211.5,387.8,0.0,31.3,356.5,860.6,848.0
2019-08-01 00:00:00,75521.90000000001,552.5,67638.4,2.6,7022.4,12863.6,213.2,41.2,3677.2,62.7,43669.6,85.9,5269.1,1930.7,3338.4,945.5,289.09999999999997,0.0,17.9,271.2,827.3,629.7
2019-09-01 00:00:00,75351.99999999999,584.4,67389.9,2.6,7060.9,12756.1,211.1,40.9,3662.7,60.9,43508.8,85.9,5289.4,1915.2,3374.2,972.0,304.79999999999995,0.0,17.9,286.9,811.5,585.5
2019-10-01 00:00:00,77540.90000000001,591.6,67953.29999999999,2.6,7048.9,12724.2,211.1,43.1,3757.3,61.3,44018.9,85.9,5344.3,1936.7,3407.6,948.1,308.29999999999995,0.0,17.9,290.4,2395.3,493.9
2019-11-01 00:00:00,77364.70000000001,616.8,67672.6,2.6,7053.0,12654.2,214.7,42.7,3733.2,72.9,43813.4,85.9,5334.6,1918.3,3416.3,1026.0,320.7,0.0,17.9,302.8,2394.0,359.2
2019-12-01 00:00:00,79052.40000000001,640.3,68000.7,2.6,7127.8,12647.0,237.4,41.1,3655.8,74.6,44128.5,85.9,5398.1,1941.3,3456.8,2284.0,332.2,0.0,17.9,314.3,2397.1,4841.8
2020-01-01 00:00:00,78705.1,661.1,67772.59999999999,2.6,7127.2,12625.5,238.0,40.8,3635.8,76.7,43940.1,85.9,5289.3,1933.2,3356.1,2267.8,341.20000000000005,0.0,16.6,324.6,2373.1,4840.0
2020-02-01 00:00:00,78329.09999999999,642.4,67603.7,2.6,7164.8,12583.3,237.9,40.6,3585.5,77.6,43825.5,85.9,5284.3,1928.7,3355.6,2127.3,327.7,0.0,3.7,324.0,2343.7,6180.9
2020-03-01 00:00:00,77812.59999999999,633.6,67200.29999999999,2.6,7145.6,12506.4,239.5,40.6,3547.1,76.3,43556.3,85.9,5284.5,1930.8,3353.7,2064.4,323.09999999999997,0.0,3.7,319.4,2306.7,7577.2
2020-04-01 00:00:00,78035.7,627.2,67501.2,2.6,7175.1,12619.1,279.9,39.8,3613.8,81.1,43603.9,85.9,5283.8,1926.3,3357.5,2025.6000000000001,319.9,0.0,3.7,316.2,2278.0,7511.8
2020-05-01 00:00:00,78296.09999999999,626.4,67642.7,2.6,7194.6,12564.6,304.6,40.2,3585.1,81.7,43783.4,85.9,5461.0,2110.5,3350.5,1988.7,319.5,0.0,3.7,315.8,2257.8,7685.9
