Fecha,Blue-Compra,Blue-Venta,MEP,CCL
2004-01-02,2.94,2.95,,
2004-01-05,2.91,2.92,,
2004-01-06,2.9,2.91,,
2004-01-07,2.91,2.92,,
2004-01-08,2.91,2.92,,
2004-01-09,2.9,2.91,,
2004-01-10,2.9,2.91,,
2004-01-12,2.87,2.88,,
2004-01-13,2.88,2.89,,
2004-01-14,2.9,2.91,,
2004-01-15,2.88,2.89,,
2004-01-16,2.9,2.91,,
2004-01-19,2.9,2.9,,
2004-01-20,2.89,2.9,,
2004-01-21,2.91,2.92,,
2004-01-22,2.9,2.91,,
2004-01-26,2.91,2.92,,
2004-01-27,2.91,2.92,,
2004-01-28,2.91,2.92,,
2004-01-29,2.93,2.94,,
2004-01-30,2.91,2.92,,
2004-01-31,2.91,2.92,,
2004-02-02,2.91,2.92,,
2004-02-03,2.92,2.93,,
2004-02-04,2.92,2.93,,
2004-02-05,2.94,2.95,,
2004-02-06,2.95,2.96,,
2004-02-09,2.93,2.94,,
2004-02-10,2.94,2.94,,
2004-02-11,2.94,2.95,,
2004-02-12,2.93,2.94,,
2004-02-13,2.92,2.93,,
2004-02-14,2.92,2.93,,
2004-02-16,2.92,2.93,,
2004-02-17,2.93,2.94,,
2004-02-18,2.94,2.94,,
2004-02-19,2.94,2.95,,
2004-02-20,2.94,2.95,,
2004-02-23,2.93,2.94,,
2004-02-24,2.93,2.93,,
2004-02-25,2.93,2.94,,
2004-02-26,2.94,2.94,,
2004-02-27,2.93,2.93,,
2004-02-28,2.93,2.93,,
2004-02-29,2.93,2.93,,
2004-03-01,2.92,2.92,,
2004-03-02,2.92,2.93,,
2004-03-03,2.92,2.92,,
2004-03-04,2.93,2.93,,
2004-03-05,2.93,2.94,,
2004-03-06,2.93,2.94,,
2004-03-08,2.94,2.94,,
2004-03-09,2.92,2.93,,
2004-03-10,2.92,2.93,,
2004-03-11,2.92,2.93,,
2004-03-12,2.93,2.93,,
2004-03-13,2.93,2.93,,
2004-03-15,2.92,2.93,,
2004-03-16,2.92,2.92,,
2004-03-17,2.91,2.91,,
2004-03-18,2.91,2.91,,
2004-03-19,2.9,2.91,,
2004-03-22,2.89,2.9,,
2004-03-23,2.89,2.9,,
2004-03-24,2.89,2.9,,
2004-03-25,2.9,2.9,,
2004-03-26,2.9,2.9,,
2004-03-29,2.89,2.9,,
2004-03-30,2.88,2.88,,
2004-03-31,2.87,2.87,,
2004-04-01,2.86,2.87,,
2004-04-02,2.86,2.87,,
2004-04-03,2.86,2.87,,
2004-04-06,2.84,2.85,,
2004-04-07,2.81,2.82,,
2004-04-08,2.81,2.82,,
2004-04-12,2.82,2.83,,
2004-04-13,2.82,2.83,,
2004-04-14,2.82,2.83,,
2004-04-15,2.83,2.83,,
2004-04-16,2.83,2.83,,
2004-04-17,2.83,2.83,,
2004-04-18,2.83,2.83,,
2004-04-19,2.83,2.84,,
2004-04-20,2.84,2.84,,
2004-04-21,2.85,2.86,,
2004-04-22,2.87,2.88,,
2004-04-23,2.86,2.87,,
2004-04-26,2.84,2.85,,
2004-04-27,2.84,2.85,,
2004-04-28,2.86,2.86,,
2004-04-29,2.86,2.86,,
2004-04-30,2.84,2.84,,
2004-05-03,2.85,2.86,,
2004-05-04,2.86,2.86,,
2004-05-05,2.86,2.87,,
2004-05-06,2.89,2.89,,
2004-05-07,2.91,2.92,,
